module#   x(cm)     y(cm)
1         30        45
2         15        45
3          0        45
4        -15        45
5        -30        45
6         45        30
7         30        30
8         15        30
9          0        30
10       -15        30
11       -30        30
12       -45        30
13        45        15
14        30        15
15        15        15
16         0        15
17       -15        15
18       -30        15
19       -45        15
20        45         0
21        30         0
22        15         0
23         0         0
24       -15         0
25       -30         0
26       -45         0
27        45       -15
28        30       -15
29        15       -15
30         0       -15
31       -15       -15
32       -30       -15
33       -45       -15
34        45       -30
35        30       -30
36        15       -30
37         0       -30
38       -15       -30
39       -30       -30
40       -45       -30
41        30       -45
42        15       -45
43         0       -45
44       -15       -45
45       -30       -45
46       -30        45
47       -15        45
48        -0        45
49        15        45
50        30        45
51       -45        30
52       -30        30
53       -15        30
54        -0        30
55        15        30
56        30        30
57        45        30
58       -45        15
59       -30        15
60       -15        15
61        -0        15
62        15        15
63        30        15
64        45        15
65       -45         0
66       -30         0
67       -15         0
68         0         0
69        15         0
70        30         0
71        45         0
72       -45       -15
73       -30       -15
74       -15       -15
75        -0       -15
76        15       -15
77        30       -15
78        45       -15
79       -45       -30
80       -30       -30
81       -15       -30
82        -0       -30
83        15       -30
84        30       -30
85        45       -30
86       -30       -45
87       -15       -45
88        -0       -45
89        15       -45
90        30       -45

